Organization Name,Address,Full Address,Latitude,Longitude,City,State,Postcode,Main Phone #,Discipline,Council District,Community Board,Borough,Census Tract,BIN,BBL,NTA
"Hudson Review, Inc.",684 Park Avenue,"684 Park Avenue, New York",40.768923,-73.9659099,New York,NY,10065,(212) 650-0020,Literature,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,122,1041266,1013830035,Upper East Side-Carnegie Hill
"Humble Arts Foundation, Inc.",POB 1157,"POB 1157, New York",40.7127753,-74.0059728,New York,NY,10113,(646) 330-1039,Visual Arts,Brooklyn Council District #36,Brooklyn Community Board #3,Manhattan,,,,
Hungarian Theatre & Art Association Inc.,32-22 91 St. #301,"32-22 91 St. #301, East Elmhurst",40.7585599,-73.87738,East Elmhurst,NY,11369,(646) 228-0050,"Multi-Discipline, Performing",Manhattan Council District #5,Manhattan Community Board #8,Manhattan,,,,
I Cantori di New York,P.O. BOX 1376,"P.O. BOX 1376, New York",42.5863033,-114.4636909,New York,NY,10185,(631) 439-0747,Music,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,,,,
I'RAISE Girls & Boys International Corporation,3640 White Plains Road,"3640 White Plains Road, Bronx",40.880145,-73.8643729,Bronx,NY,10467,(718) 725-8996,Dance,Bronx Council District #12,Bronx Community Board #12,Bronx,380,2057854,2046620030,Williamsbridge-Olinville
I'm From Driftwood,"126 South 8th Street, #3","126 South 8th Street, #3, Brooklyn",40.7094973,-73.9643823,Brooklyn,NY,11249,(347) 423-4444,Film/Video/Audio,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,547,3059587,3021370020,North Side-South Side
ID Studio Theater Performance and Research Center,531 West 112th Street,"531 West 112th Street, New York",40.805202,-73.964456,New York,NY,10025,(917) 658-5187,Theater,Manhattan Council District #10,Manhattan Community Board #12,Manhattan,199,1056992,1018840011,Morningside Heights
"IRT Theater, Inc.","154 Christopher Street, Suite 3B","154 Christopher Street, Suite 3B, New York",40.7325517,-74.0080891,New York,NY,10014,(212) 206-6875,Theater,Manhattan Council District #2,Manhattan Community Board #2,Manhattan,69,1010421,1006040033,West Village
"Ice Theatre of New York, Inc.","59 Chelsea Piers, Suite #5911","59 Chelsea Piers, Suite #5911, New York",40.7457519,-74.0085954,New York,NY,10011,(212) 929-5811,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,99,1012256,1006620011,Hudson Yards-Chelsea-Flatiron-Union Square
"Ifetayo Cultural Arts Facility, Inc.","495 Flatbush Avenue, Floor 2","495 Flatbush Avenue, Floor 2, Brooklyn",40.6625048,-73.9614225,Brooklyn,NY,11225,(718) 856-1123 x11,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #45,Brooklyn Community Board #17,Brooklyn,327,3029735,3011970006,Prospect Lefferts Gardens-Wingate
IlluminArt Productions,29 Putters Court,"29 Putters Court, Staten Island",40.6203358,-74.1077353,Staten Island,NY,10301,(248) 705-0966,Theater,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,59,5127441,5002580177,New Brighton-Silver Lake
ImageNation Film Festival,"211 West 145th Street, Apt. 4F","211 West 145th Street, Apt. 4F, New York",40.8222303,-73.9396331,New York,NY,10039,(212) 694-2887,Film/Video/Audio,Manhattan Council District #7,Manhattan Community Board #10,Manhattan,232,1079778,1020310023,Central Harlem North-Polo Grounds
Imagine Project Inc,540 ocean parkway 4k,"540 ocean parkway 4k, NYC",40.6351005,-73.9731773,NYC,NY,11218,(718) 851-8091,"Multi-Discipline, Performing",Brooklyn Council District #39,Brooklyn Community Board #10,Manhattan,,,,
Imagine Science Films,"New Lab Building 128, Suite 201","New Lab Building 128, Suite 201, Brooklyn",40.69857,-73.974551,Brooklyn,NY,11205,(718) 596-6404,Film/Video/Audio,Brooklyn Council District #33,Brooklyn Community Board #2,Manhattan,,,,
Immaterial Incorporated,181 Wyckoff Street,"181 Wyckoff Street, Brooklyn",40.6847038,-73.986917,Brooklyn,NY,11217,(718) 222-8434,Visual Arts,Brooklyn Council District #38,Brooklyn Community Board #2,Brooklyn,71,3005872,3003860050,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
Immediate Medium,P.O. Box 1138,"P.O. Box 1138, New York",40.7127753,-74.0059728,New York,NY,10276,(646) 526-4523,"Multi-Discipline, Performing",Queens Council District #26,Manhattan Community Board #1,Queens,,,,
Immigrant Adult Support Center,10 St. Paul Place,"10 St. Paul Place, Brooklyn",40.6536064,-73.9641649,Brooklyn,NY,11226,(718) 940-5295,"Multi-Discipline, Non-Perform",Brooklyn Council District #40,Brooklyn Community Board #14,Brooklyn,50804,3328161,3050520027,Flatbush
"Immigrant Social Services, Inc.","137 Henry Street, First Floor","137 Henry Street, First Floor, New York",,,New York,NY,10002,(212) 571-1840 x15,"Multi-Discipline, Non-Perform",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,6,1003564,1002830015,Lower East Side
"Immigrants' Theatre Project, Inc.",44 Douglass Street,"44 Douglass Street, Brooklyn",40.683558,-73.993317,Brooklyn,NY,11231,(718) 237-4545,Theater,Brooklyn Council District #33,Brooklyn Community Board #6,Manhattan,,,,
"Impact Theatre, Inc.","210 West 101st Street, #2B","210 West 101st Street, #2B, New York",40.7974865,-73.968975,New York,NY,10025,(212) 662-4108,Theater,Manhattan Council District #8,Manhattan Community Board #7,Manhattan,187,1056485,1018720043,Upper West Side
"InCollaboration, Inc.","29-27 Queens Plaza North, Ste. 301","29-27 Queens Plaza North, Ste. 301, Long Island City",40.7500834,-73.9362904,Long Island City,NY,11101,(718) 391-0354,"Multi-Discipline, Non-Perform",Queens Council District #26,Queens Community Board #1,Queens,33,4004872,4004030009,Queensbridge-Ravenswood-Long Island City
"Incorporation of Artists on the Move, Inc.","118 West 114th Street, Apt. 1E","118 West 114th Street, Apt. 1E, New York",40.8010762,-73.9518942,New York,NY,10026,(212) 665-5313,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #9,Bronx Community Board #10,Manhattan,216,1055028,1018230045,Central Harlem South
Independent Curators International,401 Broadway,"401 Broadway, New York",40.7187986,-74.0025583,New York,NY,10013,(212) 254-8200,Visual Arts,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,33,1002310,1001940042,SoHo-TriBeCa-Civic Center-Little Italy
"Independent Feature Project, Inc.","68 Jay Street, Ste. 425","68 Jay Street, Ste. 425, Brooklyn",40.7026934,-73.9869715,Brooklyn,NY,11201,(212) 465-8200 x223,Film/Video/Audio,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,21,3000090,3000400001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"Independent Media Arts Preservation, Inc.",c/o EAI,"c/o EAI, New York",40.747827,-74.0060488,New York,NY,10011,(212) 560-7259,New Media,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,,,,
"India Center Foundation, Inc.",P.O. Box 25163,"P.O. Box 25163, Brooklyn",40.6781784,-73.9441579,Brooklyn,NY,11202,(917) 209-1598,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,,,,
"Indo-American Arts Council, Inc.","351 East 74th Street, 3rd Floor","351 East 74th Street, 3rd Floor, New York",40.7695217,-73.9555038,New York,NY,10021,(212) 594-3685,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #5,Manhattan Community Board #8,Manhattan,134,1044930,1014490020,Lenox Hill-Roosevelt Island
"Indochina Sino-American Senior Citizen Center, Inc.","170 Forsyth St, 2nd Fl","170 Forsyth St, 2nd Fl, New York",40.7211577,-73.9912146,New York,NY,10002,(212) 226-0317,Visual Arts,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,3601,1075911,1004217502,Chinatown
IndyKids,IndyKids,"IndyKids, New York",40.7127753,-74.0059728,New York,NY,10163,(212) 592-0116,New Media,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,,,,
"Infinity Dance Theater Company, Ltd.","220 West 93rd Street, Apt. 6C","220 West 93rd Street, Apt. 6C, New York",40.792443,-73.972928,New York,NY,10025,(212) 877-3490,Dance,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,179,1033616,1012407502,Upper West Side
"Innovative Charitable Initiative, Inc.",1361 Amsterdam Avenue,"1361 Amsterdam Avenue, New York",40.8141881,-73.9553507,New York,NY,10027,(212) 222-2792,"Multi-Discipline, Non-Perform",Manhattan Council District #7,Manhattan Community Board #9,Manhattan,21303,1081781,1019670040,Manhattanville
Innovative Theatre Foundation,PO Box 2104,"PO Box 2104, New York",40.7127753,-74.0059728,New York,NY,10108,(347) 927-3366,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,,,,
"Inoue Chamber Ensemble, Inc.","440 Riverside Drive, Suite 126","440 Riverside Drive, Suite 126, New York",40.8089323,-73.9655898,New York,NY,10027,(212) 864-6459,Music,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,205,1059817,1019900001,Morningside Heights
Institute for Public Architecture,"45 E 20th Street, 5th Floor","45 E 20th Street, 5th Floor, New York",40.7387844,-73.9883559,New York,NY,10003,(646) 734-0196,Architecture/Design,Manhattan Council District #2,Manhattan Community Board #5,Queens,,,,
"Instituto Arte Teatral Internacional, Inc.","20 West 72nd Street, Ste. 808","20 West 72nd Street, Ste. 808, New York",40.7763308,-73.9765847,New York,NY,10023,(212) 505-6757,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,157,1028620,1011240046,Lincoln Square
"Inta, Inc.",PO Box 230770,"PO Box 230770, New York",40.7127753,-74.0059728,New York,NY,10023,(212) 278-8111 x300,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,,,,
"InterSchool Orchestras of New York, Inc.",121 West 27th Street,"121 West 27th Street, New York",40.7460684,-73.9919615,New York,NY,10001,(212) 410-0370,Music,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,95,1015067,1008030021,Midtown-Midtown South
"Interactive Drama for Education and Awareness in Schools, Inc.","98 4th Street, Ste. 305","98 4th Street, Ste. 305, Brooklyn",40.6763482,-73.9927822,Brooklyn,NY,11231,(718) 387-5055,Theater,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,77,3008082,3004710125,Carroll Gardens-Columbia Street-Red Hook
"Intercultural Alliance of Artists & Scholars, Inc.","140-21 31st Road, 4G","140-21 31st Road, 4G, Flushing",40.7708615,-73.8278737,Flushing,NY,11354,(718) 545-0763,Literature,Queens Council District #20,,Queens,88901,4440071,4043430125,Flushing
International African Arts Festival,P.O. Box 47-1730,"P.O. Box 47-1730, Brooklyn",40.6781784,-73.9441579,Brooklyn,NY,11247,(718) 638-6700,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #35,Brooklyn Community Board #3,Brooklyn,,,,
"International Agency for Minority Artists Affairs, Inc.","Adam Clayton Powell, Jr. State Office Building","Adam Clayton Powell, Jr. State Office Building, New York",40.8091589,-73.9473251,New York,NY,10027,(212) 749-5298,"Multi-Discipline, Non-Perform",Manhattan Council District #9,Manhattan Community Board #10,Manhattan,,,,
"International Arts Movement, Inc.",Space 38|39,"Space 38|39, New York",40.7513146,-73.9842667,New York,NY,10018,(646) 261-2859,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,,,,
"International Arts Relations, Inc.",P.O. Box 756,"P.O. Box 756, New York",44.6688692,-74.982874,New York,NY,10108,(212) 695-6134 x13,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,,,,
"International Black Film Festival, Inc",P.O. Box 2558,"P.O. Box 2558, New York",40.7127753,-74.0059728,New York,NY,10108,(347) 371-2544,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,,,,
International Center of Photography,1114 Avenue of the Americas,"1114 Avenue of the Americas, New York",40.754673,-73.9828572,New York,NY,10036,(212) 857-0012,Museum,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,96,1034196,1012580009,Midtown-Midtown South
"International Contemporary Ensemble Foundation, Inc.","4306 Third Avenue, 4th floor","4306 Third Avenue, 4th floor, Brooklyn",40.6517397,-74.0110309,Brooklyn,NY,11232,(347) 284-6423,Music,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn,2,3010898,3007270041,Sunset Park West
"International Film Seminars, Inc.",6 E. 39th Street,"6 E. 39th Street, New York",40.7511227,-73.9817466,New York,NY,10016,(212) 448-0457,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,82,1017227,1008680008,Murray Hill-Kips Bay
International Print Center New York,"526 West 26th Street, Room 824","526 West 26th Street, Room 824, New York",40.7500522,-74.0042667,New York,NY,10001,(212) 989-5090,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,99,1012386,1006970047,Hudson Yards-Chelsea-Flatiron-Union Square
International Society for the Performing Arts Foundation,630 9th Avenue,"630 9th Avenue, New York",40.759987,-73.9912338,New York,NY,10036,(212) 206-8490,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,121,1024982,1010350001,Clinton
International Studio and Curatorial Program,"1040 Metropolitan Avenue, Third Floor","1040 Metropolitan Avenue, Third Floor, Brooklyn",40.7143215,-73.9343129,Brooklyn,NY,11211,(212) 279-1173,Visual Arts,Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn,449,3338341,3029250001,East Williamsburg
International Youth Leadership Institute,127 West 127 Street,"127 West 127 Street, New York",40.809875,-73.9458556,New York,NY,10027,(212) 222-0404,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #9,Manhattan Community Board #10,Manhattan,224,1057904,1019120012,Central Harlem North-Polo Grounds
"Intrepid Museum Foundation, Inc.",One Intrepid Square,"One Intrepid Square, New York",40.7644457,-73.9995608,New York,NY,10036,(212) 957-3700,Museum,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,,,,
"Irish Repertory Theatre Company, Inc.",132 West 22nd Street,"132 West 22nd Street, New York",40.7426874,-73.9947651,New York,NY,10011,(212) 255-0270 x13,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,87,1014777,1007977503,Hudson Yards-Chelsea-Flatiron-Union Square
"Irondale Productions, Inc.",85 S. Oxford St,"85 S. Oxford St, Brooklyn",40.686922,-73.973341,Brooklyn,NY,11217,(718) 488-9233,Theater,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,181,3059350,3021180011,Fort Greene
Isadora Duncan Dance Foundation,"141 West 26th Street, 3rd Floor","141 West 26th Street, 3rd Floor, New York",40.7457047,-73.9929052,New York,NY,10001,(917) 836-9514,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,95,1080591,1008020017,Midtown-Midtown South
Isamu Noguchi Foundation and Garden Museum,32-37 Vernon Boulevard,"32-37 Vernon Boulevard, Long Island City",40.7669542,-73.9377495,Long Island City,NY,11106,(718) 204-7088 x201,Museum,Queens Council District #26,Queens Community Board #1,Queens,45,4307192,4003147501,Astoria
"Island Kids, Inc.","P.O. Box 2, Island Station","P.O. Box 2, Island Station, New York",40.7532065,-73.9755124,New York,NY,10044,(212) 421-3512,"Multi-Discipline, Non-Perform",Manhattan Council District #5,Manhattan Community Board #8,Manhattan,,,,
"Island Voice, Inc.",P.O. Box 141274,"P.O. Box 141274, Staten Island",40.5795317,-74.1502007,Staten Island,NY,10314,(718) 273-7736,"Multi-Discipline, Performing",Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,,,,
"Issue Project Room, Inc.",22 Boerum Place,"22 Boerum Place, Brooklyn",40.6908467,-73.9897215,Brooklyn,NY,11201,(718) 812-1129,Music,Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn,9,3002642,3002697501,Brooklyn Heights-Cobble Hill
Italian American Museum,155 Mulberry Street,"155 Mulberry Street, New York",40.7192603,-73.9975262,New York,NY,10013,(212) 965-9000,Museum,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,41,1003076,1002360020,SoHo-TriBeCa-Civic Center-Little Italy
"J. Mandle Performance, Inc.","232 Third Street, Studio D0A","232 Third Street, Studio D0A, Brooklyn",40.7108749,-73.9585526,Brooklyn,NY,11215,(917) 319-5897,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn,119,3337594,3009800008,Park Slope-Gowanus
JACK Music Inc,809 W 181st St #224,"809 W 181st St #224, New York",40.8511707,-73.9386535,New York,NY,10033,(917) 574-3447,Music,Manhattan Council District #10,Manhattan Community Board #12,Manhattan,273,1064336,1021790090,Washington Heights North
"JLSC Educational Tour Bus, Inc.",83 Riverside Drive,"83 Riverside Drive, New York",40.7857715,-73.9815108,New York,NY,10024,(212) 873-9300,Other,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,167,1033730,1012440031,Upper West Side
"Jack Arts, Inc.",c/o Alec Duffy,"c/o Alec Duffy, Brooklyn",40.6781784,-73.9441579,Brooklyn,NY,11238-2514,(646) 734-8985,"Multi-Discipline, Performing",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,,,,
Jackie Robinson Foundation,75 Varick,"75 Varick, New York",40.7234621,-74.0068304,New York,NY,10013,(212) 290-8600,Museum,Manhattan Council District #1,,Manhattan,,,,
Jackie Robinson Park Conservancy,P.O.Box 1194,"P.O.Box 1194, New York",40.7127753,-74.0059728,New York,NY,10039,(212) 252-2113,Music,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,,,,
"Jackson Heights Art Club, Inc.",P.O. Box 335,"P.O. Box 335, Jackson Heights",40.7556818,-73.8830701,Jackson Heights,NY,11372,(718) 899-0065,Visual Arts,Queens Council District #25,Queens Community Board #3,Queens,,,,
"Jacques Marchais Center of Tibetan Arts, Inc.",338 Lighthouse Avenue,"338 Lighthouse Avenue, Staten Island",40.5763234,-74.1381491,Staten Island,NY,10306,(718) 987-3500 x3,Museum,Staten Island Council Dist #50,Staten Island Community Brd #2,Staten Island,279,5095332,5022750004,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
"Jamaica Center for Arts & Learning, Inc.",161-04 Jamaica Avenue,"161-04 Jamaica Avenue, Jamaica",40.7038095,-73.7980862,Jamaica,NY,11432,(718) 658-7400,"Multi-Discipl, Perf & Non-Perf",Queens Council District #27,Queens Community Board #12,Queens,44601,4215617,4101010011,Jamaica
"Japan Performing Arts, Inc.","235 West 48th St., #19G","235 West 48th St., #19G, New York",40.7608251,-73.9862213,New York,NY,10036,(212) 262-0234,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,125,1076194,1010200005,Midtown-Midtown South
"Japan Society, Inc.",333 East 47th Street,"333 East 47th Street, New York",40.7525025,-73.9682642,New York,NY,10017,(212) 715-1212,Museum,Manhattan Council District #4,Manhattan Community Board #6,Manhattan,90,1038908,1013400016,Turtle Bay-East Midtown
"Japanese Folk Dance Institute of New York, Inc.","568 Grand Street, #J-1206","568 Grand Street, #J-1206, New York",40.7142822,-73.9792183,New York,NY,10002,(212) 982-6952,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,1001,1083419,1003210001,Lower East Side
"Jessica Lang Dance, Inc.",27-28 Thompson Avenue,"27-28 Thompson Avenue, Long Island City",40.7458078,-73.9418144,Long Island City,NY,11101,(646) 246-7134,Dance,Queens Council District #26,Queens Community Board #2,Queens,19,4000697,4000827501,Hunters Point-Sunnyside-West Maspeth
Jewish Children's Learning Lab,"515 West 20th Street, 4E","515 West 20th Street, 4E, New York",40.7463225,-74.0063104,New York,NY,10011,(212) 924-4500,Humanities,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,99,1012296,1006920023,Hudson Yards-Chelsea-Flatiron-Union Square
Jewish Children's Museum,792 Eastern Parkway,"792 Eastern Parkway, Brooklyn",40.6688575,-73.9419522,Brooklyn,NY,11213,(718) 774-0741,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #35,Brooklyn Community Board #9,Brooklyn,337,3033058,3012720006,Crown Heights North
"Jewish Community Center in Manhattan, Inc.",334 Amsterdam Avenue,"334 Amsterdam Avenue, New York",40.7811304,-73.9802022,New York,NY,10023,(646) 505-4471,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #6,Manhattan Community Board #7,Manhattan,163,1085971,1011670033,Upper West Side
"Jewish Community Center of Staten Island, Inc.",1466 Manor Road,"1466 Manor Road, Staten Island",40.5949041,-74.1263817,Staten Island,NY,10314,(718) 475-5235,Film/Video/Audio,Staten Island Council Dist #50,Staten Island Community Brd #2,Staten Island,181,5141743,5009550100,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
Jewish Community Council of Greater Coney Island,3001 West 37th Street,"3001 West 37th Street, Brooklyn",40.5726933,-74.0021478,Brooklyn,NY,11224,(718) 449-5000,Other,Brooklyn Council District #47,Brooklyn Community Board #13,Brooklyn,340,3189617,3070650001,Seagate-Coney Island
"Jewish Community Council of Pelham Parkway, Inc.",2157 Holland Avenue,"2157 Holland Avenue, Bronx",40.8553411,-73.8659349,Bronx,NY,10462,(718) 792-4744,Music,Bronx Council District #13,Bronx Community Board #11,Bronx,22403,2049409,2043190045,Pelham Parkway
Jewish Community Council of the RockawayPeninsula,1525 Central Avenue,"1525 Central Avenue, Far Rockaway",40.6052084,-73.7515021,Far Rockaway,NY,11691,(718) 327-7755 x11,Music,Queens Council District #31,Queens Community Board #14,Queens,103202,4298051,4155450023,Far Rockaway-Bayswater
"Jewish Folk Crafts Guild, Inc.",P.O. Box 297191,"P.O. Box 297191, Brooklyn",40.6781784,-73.9441579,Brooklyn,NY,11229,(646) 321-5220,Crafts,Brooklyn Council District #46,Brooklyn Community Board #15,Brooklyn,,,,
Jewish Museum,1109 Fifth Avenue,"1109 Fifth Avenue, New York",40.7854206,-73.9572934,New York,NY,10128,(212) 423-3215,Museum,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,16001,1047052,1015040001,Upper East Side-Carnegie Hill
Jewish Theater of New York Incorporated,P.O. Box 845,"P.O. Box 845, New York",42.9184402,-73.8904181,New York,NY,10108,(212) 494-0050,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,,,,
"Jiva Performing Arts, Inc.",345 East 93rd St.,"345 East 93rd St., New York",40.7816977,-73.9466133,New York,NY,10128,(646) 251-7463,"Multi-Discipline, Performing",Manhattan Council District #5,Manhattan Community Board #8,Manhattan,154,1050288,1015560023,Yorkville
"Joan Miller and the Chamber Arts Dance Players, Inc.","1380 Riverside Drive, #10B","1380 Riverside Drive, #10B, New York",40.8520755,-73.9412633,New York,NY,10033,(212) 568-8854,Dance,Manhattan Council District #7,Manhattan Community Board #12,Manhattan,275,1064332,1021790005,Washington Heights North
"Jody Sperling Time Lapse Dance, Inc.","825 West End Avenue, Apt. 13G","825 West End Avenue, Apt. 13G, New York",40.7982764,-73.971662,New York,NY,10025,(212) 866-1759,Dance,Manhattan Council District #9,Manhattan Community Board #7,Manhattan,187,1057135,1018897501,Upper West Side
John Jay College Foundation,899 Tenth Avenue,"899 Tenth Avenue, New York",40.7989752,-73.9663622,New York,NY,10019,(212) 237-8321,"Multi-Discipline, Performing",Manhattan Council District #6,Manhattan Community Board #4,Manhattan,147,1027085,1010870025,Lincoln Square
"Jonah Bokaer Arts Foundation, Inc.","304 Boerum Street, Apt. 23","304 Boerum Street, Apt. 23, Brooklyn",40.7066934,-73.9351325,Brooklyn,NY,11206,(917) 459-1072,"Multi-Discipline, Performing",Brooklyn Council District #34,Brooklyn Community Board #4,Brooklyn,485,3071388,3030830006,Bushwick South
"Jose Limon Dance Foundation, Inc.","307 West 38th Street, Suite 1105","307 West 38th Street, Suite 1105, New York",40.7550995,-73.9922329,New York,NY,10018,(212) 777-3353 x16,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,115,1013643,1007620025,Clinton
Joseph Gheraldi Playwright's Theatre,252 Reid Avenue,"252 Reid Avenue, Staten Island",40.5942019,-74.0876792,Staten Island,NY,10305,(718) 351-6147,Theater,Staten Island Council Dist #50,Staten Island Community Brd #2,Staten Island,9601,5049030,5033250046,Old Town-Dongan Hills-South Beach
"Josephine Herrick Project, Inc.",64 Fulton St Suite 905,"64 Fulton St Suite 905, New York",40.7087319,-74.0053613,New York,NY,10038,(212) 213-4946,Photography,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,1502,1001176,1000760001,Battery Park City-Lower Manhattan
"Joyce Theater Foundation, Inc.",175 Eighth Avenue,"175 Eighth Avenue, New York",40.7428216,-74.0007046,New York,NY,10011,(212) 691-9740 x210,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,89,1013110,1007420039,Hudson Yards-Chelsea-Flatiron-Union Square
"Jozef Pilsudski Institute of America for Research in Modern History of Poland, Inc.",180 Second Avenue,"180 Second Avenue, New York",40.7305606,-73.9859258,New York,NY,10003,(212) 505-9077,Humanities,Manhattan Council District #2,Manhattan Community Board #3,Brooklyn,119,3023308,3010310001,Park Slope-Gowanus
Judd Foundation,5 Crosby Street,"5 Crosby Street, New York",40.7197671,-74.0002426,New York,NY,10013,(212) 219-2747,Architecture/Design,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,45,1003052,1002330030,SoHo-TriBeCa-Civic Center-Little Italy
"Juggernaut Theatre Co., Inc.",P.O. Box 328,"P.O. Box 328, New York",42.4134168,-73.6731749,New York,NY,10011,(718) 875-7577,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,,,,
"Juneteenth Festival, Inc.","605 Water Street, Apt. 21B","605 Water Street, Apt. 21B, New York",40.7109942,-73.9843615,New York,NY,10002,(212) 964-1904,Theater,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,202,1003141,1002440019,Lower East Side
"Jupiter Symphony of New York, Inc.","155 West 68th Street, Apt. 319","155 West 68th Street, Apt. 319, New York",40.7761267,-73.9827725,New York,NY,10023,(212) 799-1259,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,153,1028950,1011407501,Lincoln Square
"Jurukan, Inc.",118-17 Union Tpke,"118-17 Union Tpke, Forest Hills",40.7129779,-73.8345967,Forest Hills,NY,11375,(347) 955-2745,"Multi-Discipl, Perf & Non-Perf",Queens Council District #29,Queens Community Board #6,Queens,76901,4079634,4033340260,Forest Hills
"K.S. J.A.M.M. Dance Troupe, Inc.",15 Dunham Place,"15 Dunham Place, Brooklyn",40.7112994,-73.9677305,Brooklyn,NY,11249,(347) 789-4849,Dance,Brooklyn Council District #35,Brooklyn Community Board #9,Brooklyn,549,3397615,3024687501,North Side-South Side
KDNY Incorporated,"132 East 43rd Street, Ste. 118","132 East 43rd Street, Ste. 118, New York",40.7518568,-73.9754309,New York,NY,10017,(646) 529-6412,Dance,Manhattan Council District #4,Manhattan Community Board #5,Manhattan,92,1036156,1012970023,Turtle Bay-East Midtown
KRVC Development Corporation,505 West 236th Street,"505 West 236th Street, New York",40.8866308,-73.9075184,New York,NY,10463,(718) 543-7100,"Multi-Discipline, Performing",Bronx Council District #11,Bronx Community Board #8,Bronx,295,2084186,2057960167,Spuyten Duyvil-Kingsbridge
"KW Projects, Inc.","145 17th Street, #2","145 17th Street, #2, Brooklyn",40.665971,-73.994534,Brooklyn,NY,11215,(646) 330-7609,Dance,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn,143,3008903,3006270061,Park Slope-Gowanus
Kalavant Center for Music and Dance,"326 East 11th Street, Ste. 2","326 East 11th Street, Ste. 2, New York",40.7296352,-73.9851018,New York,NY,10003,(212) 475-2348,Music,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40,1006442,1004520021,East Village
